Species	Conserved	Matched	LongMatched	Orphan	Complex	ncRNA	Intergenic	Fragment
Acep	0	63650617	46042946	9364194	6391393	307584	171853819	20061427
Ador	0	52664148	53990975	13531906	13757775	10084321	54017166	32293880
Aech	0	66937637	74104784	12939219	21602671	5200184	80110977	35049391
Aflo	0	42825272	45686439	10992700	12062225	6235528	87248741	25416876
Amel	14407528	44145134	60600915	14293397	16504933	12708052	67811327	19799371
Bimp	0	58559675	79215681	6844099	15373162	3910138	55747359	29534942
Bter	16395786	45077490	76138706	5374169	17443438	2606747	73098411	12519497
Cbir	0	58537063	52629756	13857015	18381065	5835785	45952201	17632884
Cflo	14745751	51842748	49882308	12334047	13437107	5174867	44920380	40348126
Dmel	0	12691996	5619178	63299988	13635498	5153692	35506233	7799893
Dqua	0	63667135	71959646	13203240	15912344	2326324	55439387	37157789
Hsal	15286117	56220198	58261028	15304765	13613427	3778539	78174638	53826889
Lhum	0	52235693	61685449	13346616	16745816	10909026	43342718	21235432
Mrot	0	49121944	84249427	16818936	20059234	6011111	63684179	32715738
Nvit	14470828	26231278	24527167	54974836	20741829	2900829	70168716	81765389
Pbar	0	54143401	39426188	13218655	12599298	3616419	75314979	37327018
Pcan	13640907	43224239	43975674	12074282	10557866	4166793	39592307	43970144
Pdom	0	59076553	64749968	0	13912114	3775088	48761836	17750661
Pdtl	7995866	30214687	880699	22195990	2769621	265059	119973287	23731011
Sinv	0	67258169	69080174	31038586	19920086	5625521	84237299	118849334
Tcas	0	22642540	11273980	58010394	12076664	1158759	94989349	10097047
