Species	Conserved	Matched	LongMatched	Orphan	Complex	ncRNA	Intergenic	Fragment
Acep	0	63467539	45726148	9864070	6391393	307584	171853819	20061427
Ador	0	52372409	53799433	14015187	13757775	10084321	54017166	32293880
Aech	0	66867816	74048757	13065067	21602671	5200184	80110977	35049391
Aflo	0	42607899	45823377	11073135	12062225	6235528	87248741	25416876
Amel	23188463	40543131	54900094	14815286	16504933	12708052	67811327	19799371
Bimp	0	58445917	79215681	6957857	15373162	3910138	55747359	29534942
Bter	26354114	41776767	69036306	5818964	17443438	2606747	73098411	12519497
Cbir	0	58522070	52306814	14194950	18381065	5835785	45952201	17632884
Cflo	21927563	48290740	46059945	12526606	13437107	5174867	44920380	40348126
Dmel	0	12711374	5555945	63343843	13635498	5153692	35506233	7799893
Dqua	0	63642515	71749620	13437886	15912344	2326324	55439387	37157789
Hsal	24540442	52904334	52249460	15377872	13613427	3778539	78174638	53826889
Lhum	0	52111102	61632354	13524302	16745816	10909026	43342718	21235432
Mrot	0	49153746	84003020	17033541	20059234	6011111	63684179	32715738
Nvit	21720353	23259135	19783371	55441250	20741829	2900829	70168716	81765389
Pbar	0	53995638	38971492	13821114	12599298	3616419	75314979	37327018
Pcan	20818017	43590269	41321228	7185588	10557866	4166793	39592307	43970144
Pdom	23122593	42499451	51552917	6651560	13912114	3775088	48761836	17750661
Pdtl	0	59810845	1476397	0	2769621	265059	119973287	23731011
Sinv	0	67045052	68851772	31480105	19920086	5625521	84237299	118849334
Tcas	0	22398218	11215640	58313056	12076664	1158759	94989349	10097047
