Species	SeqID	Sigma	Phi
Amel	NC_007070.3	0.575585873891	0.7821720025109855
Amel	NC_007071.3	0.563054770897	0.7750325097529259
Amel	NC_007072.3	0.692481675737	0.82689556509299
Amel	NC_007073.3	0.609555421108	0.8017883755588674
Amel	NC_007074.3	0.61681264238	0.8327228327228328
Amel	NC_007075.3	0.622867964609	0.7663782447466008
Amel	NC_007076.3	0.662076913217	0.7895652173913044
Amel	NC_007077.3	0.542835656817	0.7866666666666666
Amel	NC_007078.3	0.548269247675	0.7724014336917563
Amel	NC_007079.3	0.489143370618	0.7762430939226519
Amel	NC_007080.3	0.57212434635	0.8028322440087146
Amel	NC_007081.3	0.579347434785	0.7238493723849372
Amel	NC_007082.3	0.5030820332	0.7346938775510204
Amel	NC_007083.3	0.540149985137	0.7728055077452668
Amel	NC_007084.3	0.648752345043	0.8218390804597702
Amel	NC_007085.3	0.625514877505	0.8137254901960784
Agam	NC_004818.2	0.0843673787949	0.2674199623352166
Agam	NT_078265.2	0.169800827597	0.5597589554737195
Agam	NT_078266.2	0.199780761448	0.6081190798376184
Agam	NT_078267.5	0.11085398773	0.4515975202670482
Agam	NT_078268.4	0.116621068094	0.4645669291338583
Dmel	NC_004354.4	0.668186599303	0.8475263584752636
Dmel	NC_024512.1	0.0227459712632	0.3137254901960784
Dmel	NT_033777.3	0.672277930098	0.8457433290978399
Dmel	NT_033778.4	0.583470482017	0.8442969221484611
Dmel	NT_033779.5	0.607666891008	0.84360625574977
Dmel	NT_037436.4	0.619301046723	0.8386798272671191
Dpul	scaffold_1	0.493347725444	0.7913907284768212
Dpul	scaffold_10	0.57999509024	0.861003861003861
Dpul	scaffold_11	0.500591537142	0.7881136950904393
Dpul	scaffold_12	0.520407022195	0.7941176470588235
Dpul	scaffold_2	0.575227094516	0.8328402366863905
Dpul	scaffold_3	0.51952708685	0.7974504249291785
Dpul	scaffold_4	0.537942789516	0.8277511961722488
Dpul	scaffold_5	0.527333523408	0.7994791666666666
Dpul	scaffold_6	0.549008777717	0.8483412322274881
Dpul	scaffold_7	0.424088523429	0.7363896848137536
Dpul	scaffold_8	0.59811959021	0.8296296296296296
Dpul	scaffold_9	0.436979074739	0.7645569620253164
Tcas	NC_007416.2	0.462714885848	0.7859237536656891
Tcas	NC_007417.2	0.448324386544	0.7748031496062993
Tcas	NC_007418.2	0.346577063327	0.6632191338073691
Tcas	NC_007419.1	0.406954974902	0.7734241908006815
Tcas	NC_007420.2	0.46862692368	0.7632293080054274
Tcas	NC_007421.2	0.447923451006	0.7171837708830548
Tcas	NC_007422.4	0.482105087024	0.818976279650437
Tcas	NC_007423.2	0.443204953103	0.7374517374517374
Tcas	NC_007424.2	0.528699955468	0.7683333333333333
Tcas	NC_007425.2	0.374786605117	0.6722338204592901
Turt	NW_015449930.1	0.615602920391	0.8322813345356177
Turt	NW_015449931.1	0.628082663138	0.8288659793814434
Turt	NW_015449932.1	0.5975267117	0.8084772370486656
Turt	NW_015449933.1	0.645095303405	0.8451327433628318
Turt	NW_015449934.1	0.65094981128	0.8348909657320872
Turt	NW_015449935.1	0.67555420317	0.8313008130081301
Turt	NW_015449936.1	0.682547166797	0.875
Turt	NW_015449937.1	0.682475168419	0.8745644599303136
Turt	NW_015449938.1	0.61139550594	0.8366445916114791
Turt	NW_015449939.1	0.656475711203	0.8661616161616161
Turt	NW_015449940.1	0.755124378071	0.8874172185430463
Turt	NW_015449941.1	0.541340161257	0.8156996587030717
Turt	NW_015449942.1	0.683706310609	0.8645533141210374
Turt	NW_015449943.1	0.59324512271	0.8158844765342961
