Species	SeqID	Sigma	Phi
Scer	Centroid	0.989838376666	0.9798731372233583
Cele	Centroid	0.76576557215	0.9258852331560453
Crei	Centroid	0.679315260232	0.8672207304750988
Mtru	Centroid	0.358562237166	0.626688770702654
Agam	Centroid	0.181195364522	0.5667215320325256
Dmel	Centroid	0.691805425329	0.8769666973523785
Xtro	Centroid	0.179407112663	0.34916239655487596
Drer	Centroid	0.288179315014	0.5081551320741203
Mmus	Centroid	0.372837011579	0.5147508659992741
Hsap	Centroid	0.409827285955	0.5606853974052841
