ID	Label	Integrity	Coverage	NumIntrons	A	B	Γ	E
mRNA1	XM_015316566.1	0.183	0.110	6	0.167	0.110	0.690	0.310
mRNA2	XM_015316593.1	0.084	0.077	4	0.000	0.077	0.915	0.310
mRNA3	XM_015316630.1	0.088	0.074	4	0.000	0.074	1.000	0.310
mRNA4	XM_015316625.1	0.080	0.047	4	0.000	0.047	1.000	0.310
mRNA5	XM_015316575.1	0.107	0.140	4	0.000	0.140	1.000	0.310
mRNA6	XM_015316617.1	0.270	0.280	5	0.200	0.280	1.000	0.310
mRNA7	XM_015316585.1	0.133	0.224	4	0.000	0.224	1.000	0.310
mRNA8	XM_015316608.1	0.090	0.082	4	0.000	0.082	1.000	0.310
mRNA9	XM_015316639.1	0.091	0.084	4	0.000	0.084	1.000	0.310
mRNA10	XM_015316600.1	0.066	0.000	3	0.000	0.000	1.000	0.310
mRNA11	XM_015316644.1	0.032	0.000	3	0.000	0.000	0.320	0.310
mRNA12	XM_015316555.1	0.653	0.510	3	0.667	0.510	1.000	1.000
mRNA13	XM_015316546.1	0.885	0.635	3	1.000	0.635	0.900	1.000
mRNA14	XM_015332665.1	0.775	1.000	3	0.667	1.000	0.505	1.000
mRNA15	XM_015332585.1	0.798	1.000	3	0.667	1.000	0.970	1.000
mRNA16	XM_015332503.1	0.900	0.672	3	1.000	0.672	0.970	1.000
mRNA17	XM_015331134.1	0.696	0.522	25	0.760	0.522	0.665	1.000
mRNA18	XM_015331047.1	0.698	0.530	25	0.760	0.530	0.665	1.000
mRNA19	XM_015330879.1	0.728	0.535	26	0.808	0.535	0.665	1.000
mRNA20	XM_015331734.1	0.790	0.715	24	0.875	0.715	1.000	0.000
mRNA21	XM_015331987.1	0.870	0.983	24	0.875	0.983	1.000	0.000
mRNA22	XM_015331907.1	0.870	0.982	24	0.875	0.982	1.000	0.000
mRNA23	XM_015331825.1	0.865	0.965	24	0.875	0.965	1.000	0.000
mRNA24	XM_015330962.1	0.762	0.748	25	0.840	0.748	0.665	0.000
mRNA25	XM_015331473.1	0.787	0.841	26	0.808	0.841	1.000	0.000
mRNA26	XM_015331558.1	0.774	0.947	26	0.808	0.947	0.105	0.000
mRNA27	XM_015331645.1	0.775	0.946	26	0.808	0.946	0.140	0.000
mRNA28	XM_015331391.1	0.811	0.787	24	0.875	0.787	1.000	0.000
mRNA29	XM_015331309.1	0.789	0.783	25	0.840	0.783	1.000	0.000
mRNA30	XM_015331222.1	0.768	0.779	26	0.808	0.779	1.000	0.000
mRNA31	XM_015332086.1	0.981	0.986	3	1.000	0.986	0.705	1.000
mRNA32	XM_015332218.1	0.919	0.954	9	0.889	0.954	1.000	1.000
mRNA33	XM_015332375.1	0.988	0.959	9	1.000	0.959	1.000	1.000
mRNA34	XM_015332294.1	0.813	0.939	9	0.778	0.939	0.290	1.000
mRNA35	XM_015332978.1	1.000	1.000	8	1.000	1.000	1.000	1.000
mRNA36	XM_015332907.1	0.924	0.998	8	0.875	0.998	1.000	1.000
mRNA37	XM_015333216.1	0.700	0.000	0	1.000	0.000	1.000	1.000
mRNA38	XM_015332789.1	0.998	0.995	2	1.000	0.995	1.000	1.000
mRNA39	XM_015333102.1	0.990	1.000	2	1.000	1.000	0.805	1.000
mRNA40	XM_015335123.1	0.940	1.000	2	1.000	1.000	0.400	0.400
mRNA41	XM_015335135.1	0.659	0.000	2	1.000	0.000	0.715	0.460
mRNA42	XM_015335050.1	0.930	0.963	19	0.947	0.963	0.445	1.000
mRNA43	XM_015335061.1	0.962	0.966	19	1.000	0.966	0.445	1.000
mRNA44	XM_015335054.1	0.898	0.963	19	0.895	0.963	0.445	1.000
mRNA45	XM_015335076.1	0.894	0.963	18	0.889	0.963	0.445	1.000
mRNA46	XM_015335109.1	0.928	0.965	18	0.944	0.965	0.445	1.000
mRNA47	XM_015335069.1	0.898	0.963	19	0.895	0.963	0.445	1.000
mRNA48	XM_015335085.1	0.890	0.962	17	0.882	0.962	0.445	1.000
mRNA49	XM_015335100.1	0.926	0.965	17	0.941	0.965	0.445	1.000
mRNA50	XM_015335090.1	0.890	0.962	17	0.882	0.962	0.445	1.000
mRNA51	XM_015335164.1	0.100	0.000	6	0.000	0.000	1.000	1.000
mRNA52	XM_015335147.1	0.100	0.000	5	0.000	0.000	1.000	1.000
mRNA53	XM_015335155.1	0.100	0.000	6	0.000	0.000	1.000	1.000
mRNA54	XM_015335174.1	0.083	0.000	5	0.000	0.000	1.000	0.660
mRNA55	XM_015335188.1	0.952	1.000	3	1.000	1.000	0.400	0.640
mRNA56	XM_015335198.1	0.644	0.976	4	0.500	0.976	0.385	0.640
mRNA57	XM_015335212.1	0.967	0.919	5	1.000	0.919	0.820	1.000
mRNA58	XM_015335238.1	0.939	1.000	3	1.000	1.000	0.365	0.410
mRNA59	XM_015335224.1	1.000	1.000	6	1.000	1.000	1.000	1.000
