Species	SeqID	Sigma	Phi
Scer	NC_001136.10	0.942406068679	0.9717741935483871
Scer	NC_001139.9	0.952515581829	0.9696969696969697
Scer	NC_001144.5	0.95684058564	0.9712643678160919
Scer	NC_001147.6	0.956835902154	0.9739292364990689
Cele	NC_003279.8	0.719286550147	0.8835309617918313
Cele	NC_003280.10	0.684002023374	0.8791067210650634
Cele	NC_003281.10	0.727409107892	0.8808304891922639
Cele	NC_003282.8	0.793675351459	0.9738915293964451
Cele	NC_003283.11	0.697803508705	0.8974737775151426
Cele	NC_003284.9	0.599008668335	0.8319695528068506
Crei	NW_001843471.1	0.59653517755	0.7788018433179723
Crei	NW_001843472.1	0.6424526975	0.8343373493975904
Crei	NW_001843510.1	0.696850041399	0.8816568047337278
Crei	NW_001843537.1	0.602043226447	0.7602739726027398
Crei	NW_001843559.1	0.586252408535	0.75
Crei	NW_001843572.1	0.653496533144	0.8464052287581699
Crei	NW_001843590.1	0.443935932683	0.6414141414141414
Crei	NW_001843607.1	0.574980800197	0.7652173913043478
Crei	NW_001843620.1	0.470385710864	0.6825396825396826
Crei	NW_001843629.1	0.563237690966	0.7477876106194691
Crei	NW_001843636.1	0.655681043822	0.8235294117647058
Crei	NW_001843642.1	0.571983119003	0.7457627118644068
Crei	NW_001843643.1	0.54085478608	0.7709090909090909
Crei	NW_001843653.1	0.46296181779	0.7268041237113402
Crei	NW_001843666.1	0.541638924096	0.7452830188679245
Crei	NW_001843677.1	0.539584728281	0.7062146892655368
Crei	NW_001843688.1	0.550922940899	0.7280701754385965
Crei	NW_001843697.1	0.494092660477	0.6338797814207651
Crei	NW_001843705.1	0.656953231568	0.8305785123966942
Crei	NW_001843709.1	0.555999260519	0.7548076923076923
Crei	NW_001843718.1	0.594111471922	0.7644230769230769
Crei	NW_001843727.1	0.552101367437	0.7278911564625851
Crei	NW_001843733.1	0.639316086381	0.8022222222222222
Crei	NW_001843734.1	0.477238831868	0.6646341463414634
Crei	NW_001843738.1	0.681756222537	0.8908296943231441
Crei	NW_001843747.1	0.66871199837	0.8277777777777777
Crei	NW_001843750.1	0.443649808173	0.5867768595041323
Crei	NW_001843754.1	0.677719599087	0.821917808219178
Crei	NW_001843759.1	0.473259835006	0.7037037037037037
Crei	NW_001843769.1	0.501881934856	0.7280701754385965
Crei	NW_001843775.1	0.679035489396	0.8382352941176471
Crei	NW_001843783.1	0.593053063452	0.7985611510791367
Crei	NW_001843787.1	0.563155402807	0.7819548872180451
Crei	NW_001843791.1	0.575600173155	0.7679558011049724
Crei	NW_001843834.1	0.568132017937	0.7723004694835681
Crei	NW_001843867.1	0.527577354368	0.750733137829912
Crei	NW_001843888.1	0.573086591812	0.7769028871391076
Crei	NW_001843939.1	0.646978571681	0.8125
Crei	NW_001843987.1	0.607760798267	0.8167202572347267
Mtru	NC_016407.2	0.250194701477	0.47992588017294624
Mtru	NC_016408.2	0.239593430913	0.461987270155587
Mtru	NC_016409.2	0.240675577413	0.47216684557583194
Mtru	NC_016410.2	0.242628852298	0.4663740620133088
Mtru	NC_016411.2	0.24838223045	0.4828693790149893
Mtru	NC_016412.2	0.19792939751	0.4156642608928094
Mtru	NC_016413.2	0.241256692788	0.47307692307692306
Mtru	NC_016414.2	0.254587865125	0.4761308778830681
Agam	NC_004818.2	0.0844617999027	0.26270373921380635
Agam	NT_078265.2	0.170600006603	0.5450338198647205
Agam	NT_078266.2	0.200409488444	0.6055743243243243
Agam	NT_078267.5	0.111220660511	0.4496007984031936
Agam	NT_078268.4	0.116892046154	0.4638211382113821
Dmel	NC_004353.4	0.761724049152	0.8653846153846154
Dmel	NC_004354.4	0.671352282296	0.8433024431339511
Dmel	NC_024512.1	0.0227459712632	0.3137254901960784
Dmel	NT_033777.3	0.675768376681	0.8412865805431057
Dmel	NT_033778.4	0.591400688658	0.8343156516044532
Dmel	NT_033779.5	0.611086323093	0.8393650793650793
Dmel	NT_037436.4	0.622243085332	0.8349792927683976
Xtro	NW_004668232.1	0.159182495504	0.279622296679866
Xtro	NW_004668233.1	0.155137849218	0.2912621359223301
Xtro	NW_004668234.1	0.148835835253	0.3043715846994536
Xtro	NW_004668235.1	0.238966506226	0.7950310559006211
Xtro	NW_004668236.1	0.17583349919	0.35406698564593303
Xtro	NW_004668237.1	0.132684768735	0.26609724047306177
Xtro	NW_004668238.1	0.0964371462596	0.2077922077922078
Xtro	NW_004668239.1	0.145967832477	0.3002232142857143
Xtro	NW_004668240.1	0.15627563908	0.2570093457943925
Xtro	NW_004668241.1	0.179288751291	0.4143222506393862
Xtro	NW_004668242.1	0.152774368208	0.27722772277227725
Xtro	NW_004668243.1	0.129003248186	0.2653061224489796
Xtro	NW_004668244.1	0.181709654507	0.3129251700680272
Xtro	NW_004668245.1	0.203869297777	0.42870999030067897
Xtro	NW_004668246.1	0.0	0.0
Xtro	NW_004668247.1	0.194704652577	0.7321428571428571
Xtro	NW_004668248.1	0.292818631699	0.5
