Species	SeqID	Sigma	Phi
Amel	NC_007070.3	0.576270775669	0.7832480818414322
Amel	NC_007071.3	0.564427164764	0.7737127371273713
Amel	NC_007072.3	0.693827417395	0.827433628318584
Amel	NC_007073.3	0.611992447051	0.7945859872611465
Amel	NC_007074.3	0.617543602762	0.8312655086848635
Amel	NC_007075.3	0.623748238503	0.7661188369152971
Amel	NC_007076.3	0.662823106512	0.7868561278863233
Amel	NC_007077.3	0.54441837309	0.7821158690176322
Amel	NC_007078.3	0.549259171504	0.7707948243992606
Amel	NC_007079.3	0.490151691439	0.7755681818181818
Amel	NC_007080.3	0.573093863486	0.8062360801781737
Amel	NC_007081.3	0.580375219478	0.7272727272727273
Amel	NC_007082.3	0.503839521069	0.7322834645669292
Amel	NC_007083.3	0.54117505787	0.7805309734513274
Amel	NC_007084.3	0.651120386818	0.8185907046476761
Amel	NC_007085.3	0.627397619714	0.8226221079691517
Agam	NC_004818.2	0.0844617999027	0.26270373921380635
Agam	NT_078265.2	0.170600006603	0.5450338198647205
Agam	NT_078266.2	0.200409488444	0.6055743243243243
Agam	NT_078267.5	0.111220660511	0.4496007984031936
Agam	NT_078268.4	0.116892046154	0.4638211382113821
Aech	NW_011626409.1	0.465493761202	0.7111111111111111
Aech	NW_011626625.1	0.284890173165	0.6528925619834711
Aech	NW_011626762.1	0.487396364447	0.7121212121212122
Aech	NW_011626806.1	0.278040980868	0.5698924731182796
Aech	NW_011626826.1	0.570050540433	0.6987179487179487
Aech	NW_011626920.1	0.50311666829	0.6707317073170732
Aech	NW_011626951.1	0.360784286896	0.5058823529411764
Aech	NW_011626984.1	0.344250065838	0.6534653465346535
Aech	NW_011626988.1	0.322202224641	0.6132075471698113
Aech	NW_011627020.1	0.227162752422	0.6532258064516129
Aech	NW_011627021.1	0.402377806507	0.5794392523364486
Aech	NW_011627033.1	0.455305442525	0.6666666666666666
Aech	NW_011627046.1	0.226850362356	0.6722222222222223
Aech	NW_011627088.1	0.429564369341	0.5227272727272727
Aech	NW_011627093.1	0.349930941565	0.6185567010309279
Aech	NW_011627104.1	0.510204227745	0.6610169491525424
Aech	NW_011627124.1	0.3304077058	0.6568627450980392
Aech	NW_011627125.1	0.336243201045	0.6
Aech	NW_011627135.1	0.350507043805	0.6651162790697674
Aech	NW_011627161.1	0.35950409545	0.6036585365853658
Aech	NW_011627302.1	0.479843124327	0.6632653061224489
Aech	NW_011627322.1	0.295337846515	0.550561797752809
Aech	NW_011627352.1	0.382048612147	0.5166666666666667
Aech	NW_011627381.1	0.287777086478	0.6911764705882353
Aech	NW_011627388.1	0.375862563746	0.48717948717948717
Aech	NW_011627416.1	0.192667581471	0.6266666666666667
Aech	NW_011627542.1	0.293407869452	0.56
Aech	NW_011627736.1	0.398606576717	0.7466666666666667
Aech	NW_011627746.1	0.385689776672	0.5688073394495413
Aech	NW_011627850.1	0.354681615539	0.676923076923077
Dmel	NC_004354.4	0.671352282296	0.8433024431339511
Dmel	NC_024512.1	0.0227459712632	0.3137254901960784
Dmel	NT_033777.3	0.675768376681	0.8412865805431057
Dmel	NT_033778.4	0.591400688658	0.8343156516044532
Dmel	NT_033779.5	0.611086323093	0.8393650793650793
Dmel	NT_037436.4	0.622243085332	0.8349792927683976
Pdom	NW_015148970.1	0.401677753488	0.7564469914040115
Pdom	NW_015148971.1	0.449696954823	0.7746478873239436
Pdom	NW_015148972.1	0.409551848778	0.7655677655677655
Pdom	NW_015148973.1	0.544088079976	0.810126582278481
Pdom	NW_015148974.1	0.434607591815	0.7247191011235955
Pdom	NW_015148975.1	0.429295113061	0.7556390977443609
Pdom	NW_015148976.1	0.294533662783	0.7414965986394558
Pdom	NW_015148977.1	0.423263924395	0.7722222222222223
Pdom	NW_015148978.1	0.478106472961	0.834319526627219
Pdom	NW_015148979.1	0.352165402745	0.6964285714285714
Pdom	NW_015148980.1	0.352331721758	0.7291666666666666
Pdom	NW_015148981.1	0.166970473163	0.640625
Pdom	NW_015148982.1	0.416764719525	0.7547169811320755
Pdom	NW_015148983.1	0.496387759943	0.7246376811594203
Pdom	NW_015148984.1	0.596403640541	0.6341463414634146
Pdom	NW_015148985.1	0.259496327152	0.5294117647058824
Pdom	NW_015148986.1	0.340046723226	0.7299270072992701
Pdom	NW_015148987.1	0.170020784432	0.6702127659574468
Pdom	NW_015148988.1	0.383001648801	0.8333333333333334
Pdom	NW_015148989.1	0.415254054199	0.5714285714285714
Pdom	NW_015148990.1	0.490740740741	0.7839506172839507
Pdom	NW_015148991.1	0.627103507719	0.8387096774193549
Pdom	NW_015148992.1	0.522404850748	0.6463414634146342
Pdom	NW_015148994.1	0.272251981611	0.77
Nvit	NC_015867.2	0.490904062909	0.7891387356809504
Nvit	NC_015868.2	0.453170537309	0.7774538386783285
Nvit	NC_015869.2	0.527223393924	0.7905650596163816
Nvit	NC_015870.2	0.58143808631	0.8038990825688074
Nvit	NC_015871.2	0.591672406731	0.8153846153846154
Nvit	NW_001814682.1	0.357504291728	0.7573221757322176
Nvit	NW_001815126.1	0.591879621114	0.8285714285714286
Nvit	NW_001815237.1	0.593936215341	0.7974683544303798
Nvit	NW_001820527.3	0.538563799302	0.825974025974026
Nvit	NW_001820749.1	0.397258589107	0.7870813397129187
