Species	SeqID	Sigma	Phi
Scer	Centroid	0.952149534575	0.9716661918901294
Cele	Centroid	0.70712529753	0.8852354873910754
Crei	Centroid	0.582631989445	0.7718971010226844
Mtru	Centroid	0.245331335781	0.4732187482703792
Agam	Centroid	0.136716800323	0.46534676400348535
Dmel	Centroid	0.655595800869	0.8431056104666004
Xtro	Centroid	0.135902909563	0.2618351049571299
Drer	Centroid	0.226677871124	0.4113471495872283
Mmus	Centroid	0.359854213486	0.48353754929143156
Hsap	Centroid	0.397278890767	0.5311546625058206
