Species	SeqID	Sigma	Phi
Scer	NC_001136.10	0.988761905783	0.9919137466307277
Scer	NC_001139.9	1.00925590393	1.0
Scer	NC_001144.5	0.993309810838	0.9903474903474904
Scer	NC_001147.6	0.988244988722	0.9963031423290203
Cele	NC_003279.8	0.749515312716	0.8838250790305585
Cele	NC_003280.10	0.720033469227	0.886695278969957
Cele	NC_003281.10	0.723219975428	0.8748221906116643
Cele	NC_003282.8	0.901580304656	0.9918609193905457
Cele	NC_003283.11	0.70717352734	0.8865750996898538
Cele	NC_003284.9	0.61408285119	0.8205518553758325
Crei	NW_001843471.1	0.513280655353	0.6616279069767442
Crei	NW_001843472.1	0.595430236806	0.7186544342507645
Crei	NW_001843510.1	0.500818268246	0.6696428571428571
Crei	NW_001843537.1	0.468310192241	0.6275862068965518
Crei	NW_001843559.1	0.499904612009	0.6436781609195402
Crei	NW_001843572.1	0.577978236299	0.7251655629139073
Crei	NW_001843590.1	0.36546069447	0.46153846153846156
Crei	NW_001843607.1	0.367288430525	0.5506607929515418
Crei	NW_001843620.1	0.227684960397	0.38095238095238093
Crei	NW_001843629.1	0.382641267523	0.5475113122171946
Crei	NW_001843636.1	0.580342532885	0.7403508771929824
Crei	NW_001843642.1	0.474375858392	0.645021645021645
Crei	NW_001843643.1	0.443923810454	0.6051660516605166
Crei	NW_001843653.1	0.442295256466	0.5287958115183246
Crei	NW_001843666.1	0.46437186479	0.6
Crei	NW_001843677.1	0.302563509958	0.4742857142857143
Crei	NW_001843688.1	0.450735576697	0.6035242290748899
Crei	NW_001843697.1	0.416614818425	0.55
Crei	NW_001843705.1	0.573889462976	0.7394957983193278
Crei	NW_001843709.1	0.497076031476	0.6699029126213593
Crei	NW_001843718.1	0.542842442243	0.7391304347826086
Crei	NW_001843727.1	0.44377664407	0.5724137931034483
Crei	NW_001843733.1	0.527325233148	0.6868008948545862
Crei	NW_001843734.1	0.406138542723	0.5487804878048781
Crei	NW_001843738.1	0.682002902219	0.8421052631578947
Crei	NW_001843747.1	0.471575831517	0.6368715083798883
Crei	NW_001843750.1	0.353054937016	0.5
Crei	NW_001843754.1	0.578522388949	0.7482517482517482
Crei	NW_001843759.1	0.303099165825	0.4811320754716981
Crei	NW_001843769.1	0.360964178401	0.5625
Crei	NW_001843775.1	0.473280590157	0.6518518518518519
Crei	NW_001843783.1	0.462761993644	0.6058394160583942
Crei	NW_001843787.1	0.602991517952	0.7906976744186046
Crei	NW_001843791.1	0.397462274186	0.5434173669467787
Crei	NW_001843834.1	0.44917250797	0.6462264150943396
Crei	NW_001843867.1	0.343253833185	0.5119047619047619
Crei	NW_001843888.1	0.495513310292	0.6693333333333333
Crei	NW_001843939.1	0.598137391461	0.7522388059701492
Crei	NW_001843987.1	0.439396705102	0.6188925081433225
Mtru	NC_016407.2	0.228395434102	0.4530352429746934
Mtru	NC_016408.2	0.220172066078	0.4522417153996101
Mtru	NC_016409.2	0.215208685854	0.4403076923076923
Mtru	NC_016410.2	0.221277388698	0.4498583569405099
Mtru	NC_016411.2	0.23113920992	0.46600896860986546
Mtru	NC_016412.2	0.165100385509	0.36341724692019284
Mtru	NC_016413.2	0.20568736147	0.42876344086021506
Mtru	NC_016414.2	0.243760251805	0.4731646024053132
Agam	NC_004818.2	0.112413136801	0.21455938697318008
Agam	NT_078265.2	0.166832855046	0.3278217109992811
Agam	NT_078266.2	0.164556582257	0.3461429782424414
Agam	NT_078267.5	0.087670079049	0.2313508064516129
Agam	NT_078268.4	0.0746777087068	0.20106470106470106
Dmel	NC_004353.4	0.642892391764	0.7692307692307693
Dmel	NC_004354.4	0.680263015297	0.7637662883564523
Dmel	NC_024512.1	0.00306225509392	0.0392156862745098
Dmel	NT_033777.3	0.675366623443	0.7781569965870307
Dmel	NT_033778.4	0.60471403818	0.7554119547657512
Dmel	NT_033779.5	0.620579268918	0.7725552050473186
Dmel	NT_037436.4	0.602911976119	0.735191637630662
Xtro	NW_004668232.1	0.14963223803	0.2132600061106019
Xtro	NW_004668233.1	0.149304407122	0.20819256756756757
Xtro	NW_004668234.1	0.140035751714	0.2191256830601093
Xtro	NW_004668235.1	0.262201915059	0.4898373983739837
Xtro	NW_004668236.1	0.141563028849	0.23674770825029892
Xtro	NW_004668237.1	0.116698892606	0.18612408272181455
Xtro	NW_004668238.1	0.0964024343397	0.18181818181818182
Xtro	NW_004668239.1	0.0968683922715	0.171875
Xtro	NW_004668240.1	0.139699300979	0.2126463700234192
Xtro	NW_004668241.1	0.134053739014	0.21783876500857632
