Species	AvgPercOcc	AvgPercGene	SeqID
Scer	0.9652	0.9964	NC_001144.5
Scer	0.9459	0.9913	NC_001139.9
Scer	0.9533	0.9873	NC_001136.10
Scer	0.9570	0.9894	NC_001147.6
Cele	0.7894	0.9840	NC_003282.8
Cele	0.7235	0.9158	NC_003281.10
Cele	0.6973	0.9175	NC_003283.11
Cele	0.7364	0.9197	NC_003279.8
Cele	0.6992	0.9148	NC_003280.10
Cele	0.5775	0.8447	NC_003284.9
Crei	0.5457	0.7586	NW_001843559.1
Crei	0.4069	0.6394	NW_001843590.1
Crei	0.5411	0.7823	NW_001843783.1
Crei	0.5189	0.7587	NW_001843791.1
Crei	0.5098	0.7676	NW_001843643.1
Crei	0.6293	0.8861	NW_001843510.1
Crei	0.5546	0.7903	NW_001843888.1
Crei	0.5777	0.7535	NW_001843718.1
Crei	0.4547	0.7615	NW_001843629.1
Crei	0.5691	0.8107	NW_001843987.1
Crei	0.6406	0.8163	NW_001843939.1
Crei	0.5958	0.8161	NW_001843472.1
Crei	0.5212	0.7512	NW_001843666.1
Crei	0.5900	0.8207	NW_001843733.1
Crei	0.5268	0.7395	NW_001843642.1
Crei	0.4872	0.7372	NW_001843727.1
Crei	0.5673	0.7617	NW_001843537.1
Crei	0.6000	0.8298	NW_001843747.1
Crei	0.6405	0.8392	NW_001843572.1
Crei	0.4705	0.7583	NW_001843607.1
Crei	0.5305	0.7632	NW_001843834.1
Crei	0.3657	0.6683	NW_001843620.1
Crei	0.4440	0.7486	NW_001843867.1
Crei	0.4207	0.6937	NW_001843759.1
Crei	0.4137	0.7059	NW_001843769.1
Crei	0.4639	0.6580	NW_001843697.1
Crei	0.5653	0.7772	NW_001843471.1
Crei	0.4140	0.6453	NW_001843734.1
Crei	0.7010	0.9064	NW_001843738.1
Crei	0.6038	0.8079	NW_001843754.1
Crei	0.5031	0.7415	NW_001843688.1
Crei	0.4957	0.7626	NW_001843709.1
Crei	0.6056	0.8259	NW_001843705.1
Crei	0.6009	0.8203	NW_001843636.1
Crei	0.5813	0.8069	NW_001843787.1
Crei	0.6006	0.8239	NW_001843775.1
Crei	0.4240	0.7255	NW_001843653.1
Crei	0.4704	0.7182	NW_001843677.1
Crei	0.3583	0.5854	NW_001843750.1
Mtru	0.2149	0.4706	NC_016410.2
Mtru	0.2207	0.4808	NC_016414.2
Mtru	0.2069	0.4633	NC_016408.2
Mtru	0.2043	0.4716	NC_016413.2
Mtru	0.2189	0.4833	NC_016411.2
Mtru	0.2198	0.4820	NC_016407.2
Mtru	0.1996	0.4740	NC_016409.2
Mtru	0.1487	0.4139	NC_016412.2
Grai	0.0950	0.4169	NC_026930.1
Grai	0.0998	0.4123	NC_026941.1
Grai	0.0975	0.4132	NC_026933.1
Grai	0.0211	0.1806	NW_012160881.1
Grai	0.1117	0.4120	NC_026939.1
Grai	0.1703	0.4866	NC_026935.1
Grai	0.1613	0.4786	NC_026937.1
Grai	0.0852	0.3800	NC_026931.1
Grai	0.1107	0.4373	NC_026932.1
Grai	0.0877	0.4052	NC_026938.1
Grai	0.1229	0.4322	NC_026934.1
Grai	0.1196	0.4539	NC_026936.1
Grai	0.1071	0.4185	NC_026940.1
Grai	0.1005	0.3992	NC_026929.1
Dmel	0.6047	0.9011	NT_037436.4
Dmel	0.6001	0.9218	NT_033778.4
Dmel	0.0088	0.3137	NC_024512.1
Dmel	0.6508	0.8912	NT_033779.5
Dmel	0.7131	0.9116	NT_033777.3
Dmel	0.7176	0.8679	NC_004353.4
