hiLocus	iLocus	Species	Protein
HymHub-v0.3.0-HILC-1	AmelILC-14452		XP_006562665.1
HymHub-v0.3.0-HILC-1	BterILC-05439		XP_012166274.1
HymHub-v0.3.0-HILC-1	CfloILC-12101		XP_011256313.1
HymHub-v0.3.0-HILC-1	HsalILC-06353		XP_011136273.1
HymHub-v0.3.0-HILC-1	PcanILC-02297		XP_014616375.1
HymHub-v0.3.0-HILC-1	PdtlILC-13922		PdomMRNAr1.2-03933.1
HymHub-v0.3.0-HILC-1	NvitILC-07810		XP_008216627.1
HymHub-v0.3.0-HILC-2	AmelILC-15153		XP_006559442.1
HymHub-v0.3.0-HILC-2	BterILC-08816		XP_012170576.1
HymHub-v0.3.0-HILC-2	CfloILC-03160		XP_011268441.1
HymHub-v0.3.0-HILC-2	HsalILC-05253		XP_011135328.1
HymHub-v0.3.0-HILC-2	PcanILC-06610		XP_014603720.1
HymHub-v0.3.0-HILC-2	PdtlILC-13582		PdomMRNAr1.2-08026.1
HymHub-v0.3.0-HILC-2	NvitILC-21233		XP_008212208.1
HymHub-v0.3.0-HILC-3	AmelILC-03272		XP_006558458.1
HymHub-v0.3.0-HILC-3	BterILC-01760		XP_003394286.1
HymHub-v0.3.0-HILC-3	CfloILC-23909		XP_011265618.1
HymHub-v0.3.0-HILC-3	HsalILC-08263		XP_011137716.1
HymHub-v0.3.0-HILC-3	PcanILC-05991		XP_014602809.1
HymHub-v0.3.0-HILC-3	PdtlILC-12433		PdomMRNAr1.2-09346.1
HymHub-v0.3.0-HILC-3	NvitILC-03934		XP_001601352.1
HymHub-v0.3.0-HILC-4	AmelILC-11762		XP_006566770.1
HymHub-v0.3.0-HILC-4	BterILC-07950		XP_012169305.1
HymHub-v0.3.0-HILC-4	CfloILC-03712		XP_011269146.1
HymHub-v0.3.0-HILC-4	HsalILC-13015		XP_011142062.1
HymHub-v0.3.0-HILC-4	PcanILC-09290		XP_014607787.1
HymHub-v0.3.0-HILC-4	PdtlILC-13123		PdomMRNAr1.2-08630.1
HymHub-v0.3.0-HILC-4	NvitILC-24024		XP_001605335.2
HymHub-v0.3.0-HILC-5	AmelILC-00947		XP_624014.2
HymHub-v0.3.0-HILC-5	BterILC-04821		XP_012165602.1
HymHub-v0.3.0-HILC-5	CfloILC-16566		XP_011260005.1
HymHub-v0.3.0-HILC-5	HsalILC-04274		XP_011155025.1
HymHub-v0.3.0-HILC-5	PcanILC-04666		XP_014600771.1
HymHub-v0.3.0-HILC-5	PdtlILC-03676		PdomMRNAr1.2-04972.1
HymHub-v0.3.0-HILC-5	NvitILC-04477		XP_003424117.1
HymHub-v0.3.0-HILC-6	AmelILC-09654		XP_006567452.1
HymHub-v0.3.0-HILC-6	BterILC-06550		XP_003397952.1
HymHub-v0.3.0-HILC-6	CfloILC-21687		XP_011263735.1
HymHub-v0.3.0-HILC-6	HsalILC-25966		XP_011152889.1
HymHub-v0.3.0-HILC-6	PcanILC-09363		XP_014607918.1
HymHub-v0.3.0-HILC-6	PdtlILC-13176		PdomMRNAr1.2-08303.1
HymHub-v0.3.0-HILC-6	NvitILC-10381		NP_001123523.1
HymHub-v0.3.0-HILC-7	AmelILC-05295		XP_006564250.1
HymHub-v0.3.0-HILC-7	BterILC-03765		XP_003395458.1
HymHub-v0.3.0-HILC-7	CfloILC-15220		XP_011258896.1
HymHub-v0.3.0-HILC-7	HsalILC-15593		XP_011144375.1
HymHub-v0.3.0-HILC-7	PcanILC-13214		XP_014613211.1
HymHub-v0.3.0-HILC-7	PdtlILC-14241		PdomMRNAr1.2-03753.1
HymHub-v0.3.0-HILC-7	NvitILC-17048		XP_008208369.1
HymHub-v0.3.0-HILC-8	AmelILC-04995		XP_394533.4
HymHub-v0.3.0-HILC-8	BterILC-03418		XP_003395755.1
HymHub-v0.3.0-HILC-8	CfloILC-02005		XP_011262216.1
HymHub-v0.3.0-HILC-8	HsalILC-23427		XP_011150976.1
HymHub-v0.3.0-HILC-8	PcanILC-10505		XP_014609681.1
HymHub-v0.3.0-HILC-8	PdtlILC-04034		PdomMRNAr1.2-09269.1
HymHub-v0.3.0-HILC-8	NvitILC-09206		XP_003427483.1
