ID	Label	Integrity	Coverage	NumIntrons	A	B	Γ	E
mRNA1	XM_014742874.1	0.100	0.000	4	0.000	0.000	1.000	1.000
mRNA2	XM_014743129.1	0.335	0.340	7	0.286	0.340	0.905	0.330
mRNA3	XM_014743000.1	0.950	0.977	2	1.000	0.977	0.145	1.000
mRNA4	XM_014742743.1	0.989	0.962	6	1.000	0.962	1.000	1.000
mRNA5	XM_014758187.1	0.037	0.000	5	0.000	0.000	0.005	0.730
mRNA6	XM_014746502.1	0.028	0.000	4	0.000	0.000	0.570	0.000
mRNA7	XM_014758308.1	0.945	0.990	5	1.000	0.990	0.380	0.570
mRNA8	XM_014758434.1	0.911	0.703	6	1.000	0.703	1.000	1.000
mRNA9	XM_014759095.1	0.002	0.000	6	0.000	0.000	0.000	0.040
mRNA10	XM_014760144.1	0.353	0.116	11	0.364	0.116	1.000	1.000
mRNA11	XM_014760546.1	0.072	0.000	6	0.000	0.000	0.435	1.000
mRNA12	XM_014760555.1	0.072	0.000	5	0.000	0.000	0.435	1.000
mRNA13	XM_014760563.1	0.100	0.000	8	0.000	0.000	1.000	1.000
mRNA14	XM_014760572.1	0.100	0.000	8	0.000	0.000	1.000	1.000
mRNA15	XM_014745966.1	0.321	0.235	16	0.250	0.235	1.000	1.000
mRNA16	XM_014745790.1	0.321	0.236	16	0.250	0.236	1.000	1.000
mRNA17	XM_014745877.1	0.321	0.236	16	0.250	0.236	1.000	1.000
mRNA18	XM_014753087.1	0.532	0.698	8	0.375	0.698	0.960	1.000
mRNA19	XM_014753263.1	0.500	0.668	9	0.333	0.668	1.000	1.000
mRNA20	XM_014753172.1	0.467	0.623	10	0.300	0.623	1.000	1.000
mRNA21	XM_014755381.1	0.564	0.436	18	0.556	0.436	1.000	1.000
mRNA22	XM_014755631.1	0.585	0.442	17	0.588	0.442	1.000	1.000
mRNA23	XM_014755545.1	0.606	0.512	17	0.588	0.512	1.000	1.000
mRNA24	XM_014755469.1	0.598	0.525	17	0.588	0.525	0.755	1.000
mRNA25	XM_014755748.1	0.482	0.399	16	0.438	0.399	1.000	1.000
mRNA26	XM_014756669.1	0.960	0.909	2	1.000	0.909	0.750	1.000
mRNA27	XM_014760635.1	0.100	0.000	5	0.000	0.000	1.000	1.000
mRNA28	XM_014760642.1	0.100	0.000	4	0.000	0.000	1.000	1.000
mRNA29	XM_014759666.1	0.589	0.520	9	0.556	0.520	1.000	1.000
mRNA30	XM_014759658.1	0.589	0.520	9	0.556	0.520	1.000	1.000
mRNA31	XM_014759648.1	0.587	0.512	9	0.556	0.512	1.000	1.000
mRNA32	XM_014759640.1	0.587	0.512	9	0.556	0.512	1.000	1.000
mRNA33	XM_014760023.1	0.981	0.936	3	1.000	0.936	1.000	1.000
mRNA34	XM_014760032.1	0.830	0.932	4	0.750	0.932	1.000	1.000
mRNA35	XM_014759494.1	0.898	0.944	7	0.857	0.944	1.000	1.000
mRNA36	XM_014759445.1	0.700	0.000	0	1.000	0.000	1.000	1.000
mRNA37	XM_014760231.1	0.913	0.961	8	0.875	0.961	1.000	1.000
mRNA38	XM_014760225.1	0.987	0.957	8	1.000	0.957	1.000	1.000
mRNA39	XM_014759892.1	0.719	0.947	7	0.571	0.947	0.845	1.000
mRNA40	XM_014759874.1	0.667	0.897	8	0.500	0.897	0.960	1.000
mRNA41	XM_014759883.1	0.652	0.839	8	0.500	0.839	1.000	1.000
mRNA42	XM_014759855.1	0.663	0.876	8	0.500	0.876	1.000	1.000
mRNA43	XM_014759842.1	0.666	0.886	8	0.500	0.886	1.000	1.000
mRNA44	XM_014759847.1	0.626	0.865	9	0.444	0.865	1.000	1.000
mRNA45	XM_014759864.1	0.663	0.878	8	0.500	0.878	1.000	1.000
mRNA46	XM_014759905.1	0.955	0.898	5	1.000	0.898	0.710	1.000
mRNA47	XM_014760089.1	0.814	0.981	10	0.700	0.981	1.000	1.000
mRNA48	XM_014760097.1	0.776	0.981	11	0.636	0.981	1.000	1.000
mRNA49	XM_014759747.1	0.100	0.000	4	0.000	0.000	1.000	1.000
mRNA50	XM_014759739.1	0.100	0.000	3	0.000	0.000	1.000	1.000
mRNA51	XM_014759720.1	0.277	0.182	4	0.250	0.182	0.440	1.000
mRNA52	XM_014759729.1	0.415	0.248	5	0.400	0.248	1.000	1.000
mRNA53	XM_014745576.1	0.260	0.169	9	0.222	0.169	0.520	1.000
mRNA54	XM_014760107.1	0.798	0.864	8	0.750	0.864	0.820	0.960
mRNA55	XM_014760327.1	0.754	0.821	12	0.750	0.821	0.160	1.000
mRNA56	XM_014760335.1	0.755	0.823	12	0.750	0.823	0.160	1.000
mRNA57	XM_014751968.1	0.414	0.379	9	0.333	0.379	1.000	1.000
mRNA58	XM_014752048.1	0.414	0.382	9	0.333	0.382	1.000	1.000
mRNA59	XM_014752817.1	0.618	0.726	8	0.500	0.726	1.000	1.000
mRNA60	XM_014752130.1	0.523	0.584	7	0.429	0.584	1.000	0.820
mRNA61	XM_014752566.1	0.491	0.669	9	0.333	0.669	1.000	0.800
mRNA62	XM_014752476.1	0.484	0.648	9	0.333	0.648	1.000	0.800
mRNA63	XM_014752387.1	0.485	0.651	9	0.333	0.651	1.000	0.800
mRNA64	XM_014752210.1	0.496	0.604	8	0.375	0.604	1.000	0.800
mRNA65	XM_014752651.1	0.497	0.608	8	0.375	0.608	1.000	0.800
mRNA66	XM_014752303.1	0.477	0.622	9	0.333	0.622	1.000	0.800
mRNA67	XM_014752737.1	0.555	0.694	7	0.429	0.694	1.000	0.800
mRNA68	XM_014752943.1	0.715	0.718	6	0.667	0.718	1.000	1.000
mRNA69	XM_014759708.1	0.570	0.568	12	0.500	0.568	1.000	1.000
mRNA70	XM_014760511.1	0.943	0.914	3	1.000	0.914	0.370	1.000
mRNA71	XM_014759694.1	0.719	0.730	3	0.667	0.730	1.000	1.000
mRNA72	XM_014759678.1	0.924	0.747	2	1.000	0.747	1.000	1.000
mRNA73	XM_014759686.1	0.730	0.767	3	0.667	0.767	1.000	1.000
mRNA74	XM_014761482.1	0.056	0.000	2	0.000	0.000	0.115	1.000
mRNA75	XM_014760353.1	0.737	0.851	11	0.636	0.851	1.000	1.000
mRNA76	XM_014760273.1	0.791	0.848	11	0.727	0.848	1.000	1.000
mRNA77	XM_014760862.1	0.877	0.797	0	1.000	0.797	0.555	0.210
mRNA78	XM_014742315.1	0.391	0.000	2	0.500	0.000	0.825	1.000
mRNA79	XM_014760980.1	0.973	0.990	5	1.000	0.990	0.525	1.000
mRNA80	XM_014760741.1	0.299	0.664	1	0.000	0.664	1.000	1.000
mRNA81	XM_014761230.1	0.093	0.000	2	0.000	0.000	0.860	1.000
mRNA82	XM_014761356.1	0.992	0.998	1	1.000	0.998	0.850	1.000
mRNA83	XM_014761105.1	0.570	0.899	3	0.333	0.899	1.000	1.000
mRNA84	XM_014760693.1	0.054	0.000	5	0.000	0.000	0.640	0.430
mRNA85	XM_014760610.1	0.970	0.991	6	1.000	0.991	0.450	1.000
mRNA86	XM_014760488.1	0.696	0.386	5	0.800	0.386	1.000	1.000
mRNA87	XM_014760489.1	0.980	0.997	4	1.000	0.997	0.615	1.000
mRNA88	XM_014760475.1	0.085	0.000	7	0.000	0.000	0.710	1.000
mRNA89	XM_014760077.1	0.974	0.986	11	1.000	0.986	0.560	1.000
mRNA90	XM_014760059.1	0.566	0.554	12	0.500	0.554	1.000	1.000
mRNA91	XM_014760067.1	0.616	0.554	12	0.583	0.554	1.000	1.000
mRNA92	XM_014749926.1	0.361	0.357	39	0.256	0.357	1.000	1.000
mRNA93	XM_014750007.1	0.403	0.345	27	0.333	0.345	1.000	1.000
mRNA94	XM_014750104.1	0.404	0.347	27	0.333	0.347	1.000	1.000
mRNA95	XM_014750809.1	0.185	0.365	3	0.000	0.365	1.000	0.510
mRNA96	XM_014750898.1	0.187	0.370	3	0.000	0.370	1.000	0.510
mRNA97	XM_014750679.1	0.483	0.480	9	0.444	0.480	0.440	1.000
mRNA98	XM_014750468.1	0.492	0.517	10	0.400	0.517	0.940	1.000
mRNA99	XM_014750306.1	0.493	0.510	10	0.400	0.510	1.000	1.000
mRNA100	XM_014750388.1	0.483	0.526	10	0.400	0.526	0.700	1.000
mRNA101	XM_014750556.1	0.487	0.550	9	0.444	0.550	0.100	1.000
mRNA102	XM_014760294.1	0.730	0.766	12	0.667	0.766	1.000	1.000
mRNA103	XM_014760316.1	0.655	0.759	11	0.545	0.759	1.000	1.000
mRNA104	XM_014760309.1	0.728	0.760	12	0.667	0.760	1.000	1.000
mRNA105	XM_014760302.1	0.752	0.746	11	0.727	0.746	0.830	1.000
mRNA106	XM_014752902.1	0.850	1.000	4	0.750	1.000	1.000	1.000
mRNA107	XM_014760501.1	0.973	0.990	5	1.000	0.990	0.525	1.000
mRNA108	XM_014759400.1	0.842	0.621	2	1.000	0.621	1.000	0.120
mRNA109	XM_014758992.1	0.453	0.442	10	0.400	0.442	0.600	1.000
mRNA110	XM_014758847.1	0.436	0.412	10	0.400	0.412	0.445	1.000
mRNA111	XM_014758918.1	0.425	0.354	11	0.364	0.354	1.000	1.000
mRNA112	XM_014759163.1	0.654	1.000	4	0.500	1.000	0.075	1.000
mRNA113	XM_014759097.1	0.790	1.000	3	0.667	1.000	0.810	1.000
mRNA114	XM_014759315.1	0.656	0.908	2	0.500	0.908	0.670	1.000
mRNA115	XM_014759255.1	0.989	0.985	2	1.000	0.985	0.860	1.000
mRNA116	XM_014759563.1	0.100	0.000	9	0.000	0.000	1.000	1.000
mRNA117	XM_014759545.1	0.100	0.000	10	0.000	0.000	1.000	1.000
mRNA118	XM_014759572.1	0.100	0.000	9	0.000	0.000	1.000	1.000
mRNA119	XM_014759580.1	0.075	0.000	11	0.000	0.000	0.490	1.000
mRNA120	XM_014759537.1	0.100	0.000	11	0.000	0.000	1.000	1.000
mRNA121	XM_014759555.1	0.100	0.000	10	0.000	0.000	1.000	1.000
mRNA122	XM_014759614.1	0.952	0.841	2	1.000	0.841	1.000	1.000
mRNA123	XM_014759591.1	0.443	0.515	9	0.333	0.515	0.770	1.000
mRNA124	XM_014759600.1	0.426	0.581	9	0.333	0.581	0.040	1.000
mRNA125	XM_014760046.1	0.270	0.257	6	0.167	0.257	0.860	1.000
mRNA126	XM_014760438.1	0.807	0.757	5	0.800	0.757	1.000	1.000
mRNA127	XM_014760158.1	0.620	0.544	5	0.600	0.544	1.000	0.940
mRNA128	XM_014760168.1	0.663	0.646	3	0.667	0.646	0.435	0.940
mRNA129	XM_014760181.1	0.094	0.000	2	0.000	0.000	0.875	1.000
mRNA130	XM_014755956.1	0.227	0.224	10	0.100	0.224	1.000	1.000
mRNA131	XM_014755874.1	0.233	0.221	9	0.111	0.221	1.000	1.000
mRNA132	XM_014756370.1	0.468	0.000	3	0.667	0.000	0.670	0.680
mRNA133	XM_014756286.1	0.461	0.000	3	0.667	0.000	0.530	0.680
mRNA134	XM_014756082.1	0.828	0.935	5	0.800	0.935	0.340	1.000
mRNA135	XM_014756168.1	0.837	0.953	5	0.800	0.953	0.420	1.000
mRNA136	XM_014756628.1	0.935	0.895	2	1.000	0.895	0.455	0.870
mRNA137	XM_014756495.1	0.700	0.000	3	1.000	0.000	1.000	1.000
mRNA138	XM_014756837.1	0.100	0.000	10	0.000	0.000	1.000	1.000
mRNA139	XM_014756919.1	0.100	0.000	10	0.000	0.000	1.000	1.000
mRNA140	XM_014757003.1	0.100	0.000	9	0.000	0.000	1.000	1.000
mRNA141	XM_014756754.1	0.100	0.000	10	0.000	0.000	1.000	1.000
mRNA142	XM_014757457.1	0.181	0.360	4	0.000	0.360	1.000	0.460
mRNA143	XM_014757118.1	0.163	0.299	4	0.000	0.299	1.000	0.460
mRNA144	XM_014757203.1	0.165	0.306	4	0.000	0.306	1.000	0.460
mRNA145	XM_014757283.1	0.173	0.333	4	0.000	0.333	1.000	0.460
mRNA146	XM_014757372.1	0.177	0.345	4	0.000	0.345	1.000	0.460
mRNA147	XM_014742661.1	0.014	0.000	7	0.000	0.000	0.285	0.000
mRNA148	XM_014759551.1	0.950	1.000	2	1.000	1.000	0.010	1.000
mRNA149	XM_014760462.1	0.059	0.000	8	0.000	0.000	0.370	0.820
mRNA150	XM_014760452.1	0.069	0.000	8	0.000	0.000	0.370	1.000
mRNA151	XM_014743948.1	0.077	0.000	5	0.000	0.000	1.000	0.540
mRNA152	XM_014760615.1	0.100	0.000	5	0.000	0.000	1.000	1.000
mRNA153	XM_014760605.1	0.100	0.000	5	0.000	0.000	1.000	1.000
mRNA154	XM_014759785.1	0.100	0.000	5	0.000	0.000	1.000	1.000
mRNA155	XM_014759832.1	0.100	0.000	5	0.000	0.000	1.000	1.000
mRNA156	XM_014759824.1	0.100	0.000	6	0.000	0.000	1.000	1.000
mRNA157	XM_014759815.1	0.100	0.000	6	0.000	0.000	1.000	1.000
mRNA158	XM_014759804.1	0.100	0.000	6	0.000	0.000	1.000	1.000
mRNA159	XM_014759794.1	0.100	0.000	6	0.000	0.000	1.000	1.000
mRNA160	XM_014760203.1	0.079	0.000	3	0.000	0.000	0.585	1.000
mRNA161	XM_014760211.1	0.079	0.000	3	0.000	0.000	0.585	1.000
mRNA162	XM_014760195.1	0.100	0.000	4	0.000	0.000	1.000	1.000
mRNA163	XM_014760283.1	0.274	0.579	1	0.000	0.579	1.000	1.000
mRNA164	XM_014760274.1	0.950	0.834	1	1.000	0.834	1.000	1.000
mRNA165	XM_014745235.1	0.604	0.000	0	1.000	0.000	0.090	0.000
mRNA166	XM_014757661.1	0.816	0.787	20	0.800	0.787	1.000	1.000
mRNA167	XM_014757579.1	0.875	0.794	19	0.895	0.794	1.000	1.000
mRNA168	XM_014757741.1	0.843	0.792	19	0.842	0.792	1.000	1.000
mRNA169	XM_014758070.1	0.909	0.974	18	0.944	0.974	0.000	1.000
mRNA170	XM_014757907.1	0.888	0.973	18	0.944	0.973	0.000	0.590
mRNA171	XM_014757821.1	0.879	0.975	19	0.895	0.975	0.000	1.000
mRNA172	XM_014757987.1	0.909	0.974	18	0.944	0.974	0.000	1.000
mRNA173	XM_014758651.1	0.829	0.829	5	0.800	0.829	1.000	1.000
mRNA174	XM_014758566.1	0.994	0.979	5	1.000	0.979	1.000	1.000
mRNA175	XM_014758734.1	0.874	0.979	5	0.800	0.979	1.000	1.000
mRNA176	XM_014751615.1	0.698	0.995	2	0.500	0.995	1.000	1.000
mRNA177	XM_014751704.1	0.661	0.936	2	0.500	0.936	0.600	1.000
mRNA178	XM_014751834.1	1.000	1.000	3	1.000	1.000	1.000	1.000
mRNA179	XM_014751494.1	0.820	0.813	5	0.800	0.813	1.000	0.930
mRNA180	XM_014751322.1	0.721	0.469	5	0.800	0.469	1.000	1.000
mRNA181	XM_014751411.1	0.810	0.801	5	0.800	0.801	1.000	0.790
mRNA182	XM_014751236.1	0.780	0.808	5	0.800	0.808	1.000	0.150
mRNA183	XM_014760522.1	0.085	0.000	4	0.000	0.000	0.695	1.000
mRNA184	XM_014746503.1	0.000	0.000	19	0.000	0.000	0.000	0.000
mRNA185	XM_014759515.1	0.274	0.199	8	0.250	0.199	0.280	1.000
mRNA186	XM_014759507.1	0.270	0.187	8	0.250	0.187	0.280	1.000
mRNA187	XM_014759527.1	0.865	0.551	3	1.000	0.551	1.000	1.000
mRNA188	XM_014746964.1	0.308	0.786	1	0.000	0.786	0.455	1.000
