Species	SeqID	Sigma	Phi
Scer	Centroid	0.969597172901	0.9789407413020929
Cele	Centroid	0.671612637777	0.8473784995305225
Crei	Centroid	0.44993914972	0.6170325813127867
Mtru	Centroid	0.219648972046	0.4446967753008199
Agam	Centroid	0.0918346929686	0.2223413034525749
Dmel	Centroid	0.535324171686	0.6917169625202947
Xtro	Centroid	0.0943039010336	0.18797307073933325
Drer	Centroid	0.180634221629	0.25678957353114407
Mmus	Centroid	0.251421198561	0.35309147308196953
Hsap	Centroid	0.296710262052	0.40887940570056225
