Species	SeqID	Sigma	Phi
Amel	NC_007070.3	0.576270775669	0.7832480818414322
Amel	NC_007071.3	0.564427164764	0.7737127371273713
Amel	NC_007072.3	0.693827417395	0.827433628318584
Amel	NC_007073.3	0.611992447051	0.7945859872611465
Amel	NC_007074.3	0.617543602762	0.8312655086848635
Amel	NC_007075.3	0.623748238503	0.7661188369152971
Amel	NC_007076.3	0.662823106512	0.7868561278863233
Amel	NC_007077.3	0.54441837309	0.7821158690176322
Amel	NC_007078.3	0.549259171504	0.7707948243992606
Amel	NC_007079.3	0.490151691439	0.7755681818181818
Amel	NC_007080.3	0.573093863486	0.8062360801781737
Amel	NC_007081.3	0.580375219478	0.7272727272727273
Amel	NC_007082.3	0.503839521069	0.7322834645669292
Amel	NC_007083.3	0.54117505787	0.7805309734513274
Amel	NC_007084.3	0.651120386818	0.8185907046476761
Amel	NC_007085.3	0.627397619714	0.8226221079691517
Bter	NC_015762.1	0.355307018904	0.7335640138408305
Bter	NC_015763.1	0.386162891934	0.7724770642201835
Bter	NC_015764.1	0.472546905962	0.7895652173913044
Bter	NC_015765.1	0.473361110219	0.7429718875502008
Bter	NC_015766.1	0.398888288367	0.7864077669902912
Bter	NC_015767.1	0.35392908518	0.6952380952380952
Bter	NC_015768.1	0.428639778042	0.768033946251768
Bter	NC_015769.1	0.486958381528	0.7953216374269005
Bter	NC_015770.1	0.346834890266	0.7282051282051282
Bter	NC_015771.1	0.461968359221	0.7568555758683729
Bter	NC_015772.1	0.41176044971	0.7794520547945205
Bter	NC_015773.1	0.464153877466	0.7790927021696252
Bter	NC_015774.1	0.41924652767	0.7283582089552239
Bter	NC_015775.1	0.515463386045	0.7952898550724637
Bter	NC_015776.1	0.464392453379	0.7781512605042017
Bter	NC_015777.1	0.494962420685	0.7266187050359713
Bter	NC_015778.1	0.506510955385	0.7559523809523809
Bter	NC_015779.1	0.443673103594	0.6917293233082706
Bter	NW_003565443.1	0.0399623080378	0.42857142857142855
Bter	NW_003565557.1	0.511806971037	0.797979797979798
Bter	NW_003565947.1	0.460188931248	0.8064516129032258
Bter	NW_003566036.1	0.541423711492	0.7721518987341772
Bter	NW_003566126.1	0.510316244163	0.7794117647058824
Bter	NW_003566135.1	0.287737938591	0.6105263157894737
Bter	NW_003566384.1	0.589428316811	0.7967032967032966
Bter	NW_003566457.1	0.616598611326	0.6538461538461539
Cflo	NW_011877137.1	0.529460286245	0.8311688311688312
Cflo	NW_011877194.1	0.403747562091	0.6530612244897959
Cflo	NW_011877278.1	0.170414277736	0.575
Cflo	NW_011877311.1	0.37862296194	0.7285714285714285
Cflo	NW_011877349.1	0.314855523678	0.6578947368421053
Cflo	NW_011877733.1	0.520072708889	0.7164179104477612
Cflo	NW_011877873.1	0.495863618157	0.8130841121495327
Cflo	NW_011879215.1	0.321349962724	0.5135135135135135
Cflo	NW_011879230.1	0.183540206347	0.5555555555555556
Cflo	NW_011879604.1	0.16318166	0.5862068965517241
Cflo	NW_011880341.1	0.440273180004	0.65
Cflo	NW_011880675.1	0.461982938556	0.7636363636363637
Cflo	NW_011880927.1	0.501348061712	0.7575757575757576
Cflo	NW_011880934.1	0.489406535745	0.7466666666666667
Cflo	NW_011881215.1	0.352721631566	0.65625
Cflo	NW_011881373.1	0.695454690097	0.7884615384615384
Cflo	NW_011881417.1	0.150286280038	0.3611111111111111
Cflo	NW_011881590.1	0.490131071228	0.6756756756756757
Cflo	NW_011882532.1	0.43385388393	0.8043478260869565
Cflo	NW_011882716.1	0.724908287157	0.8
Cflo	NW_011882810.1	0.121324287901	0.6428571428571429
Cflo	NW_011883546.1	0.326304492142	0.2903225806451613
Cflo	NW_011883808.1	0.411403925659	0.7209302325581395
Cflo	NW_011883953.1	0.4867891523	0.6538461538461539
Cflo	NW_011885320.1	0.574082144949	0.7927927927927928
Cflo	NW_011885393.1	0.757387998811	0.6842105263157895
Cflo	NW_011885655.1	0.136871289134	0.6470588235294118
Cflo	NW_011886773.1	0.200149229989	0.5
Cflo	NW_011887060.1	0.293337377957	0.6041666666666666
Hsal	NW_011646480.1	0.262509774251	0.5178571428571429
Hsal	NW_011646564.1	0.162405760898	0.5609756097560976
Hsal	NW_011646741.1	0.365368258526	0.5625
Hsal	NW_011646973.1	0.0738510513851	0.21052631578947367
Hsal	NW_011647044.1	0.514511616253	0.7777777777777778
Hsal	NW_011647087.1	0.22126048125	0.6607142857142857
Hsal	NW_011647157.1	0.178913672363	0.5714285714285714
Hsal	NW_011647311.1	0.0932353428745	0.5357142857142857
Hsal	NW_011648058.1	0.178358356695	0.5869565217391305
Hsal	NW_011648308.1	0.182198300502	0.5681818181818182
Hsal	NW_011648846.1	0.459562902194	0.5
Hsal	NW_011648925.1	0.232663627141	0.5142857142857142
Hsal	NW_011649194.1	0.542703959516	0.8313253012048193
Hsal	NW_011649272.1	0.476574062769	0.6944444444444444
Hsal	NW_011649346.1	0.272367146682	0.48
Hsal	NW_011649385.1	0.237246577958	0.7258064516129032
Hsal	NW_011649425.1	0.13305549483	0.4166666666666667
Hsal	NW_011649481.1	0.269850365142	0.7608695652173914
Hsal	NW_011649661.1	0.30102180379	0.7272727272727273
Hsal	NW_011649692.1	0.170125259924	0.6428571428571429
Hsal	NW_011649715.1	0.2239842388	0.5909090909090909
Hsal	NW_011649728.1	0.391654775779	0.6666666666666666
Hsal	NW_011650193.1	0.514504194384	0.7638888888888888
Hsal	NW_011650539.1	0.396890502292	0.7419354838709677
Hsal	NW_011650542.1	0.534821165582	0.873015873015873
Hsal	NW_011650668.1	0.259662619661	0.5925925925925926
Hsal	NW_011650790.1	0.467541924619	0.7083333333333334
Hsal	NW_011650815.1	0.226865472616	0.7450980392156863
Hsal	NW_011650851.1	0.462320377861	0.6410256410256411
Hsal	NW_011650855.1	0.309571330264	0.7307692307692307
Hsal	NW_011650956.1	0.179346813804	0.5714285714285714
Hsal	NW_011651541.1	0.307308302585	0.6938775510204082
Hsal	NW_011651567.1	0.385192875866	0.8148148148148148
Hsal	NW_011651688.1	0.671577608008	0.8135593220338984
Hsal	NW_011651929.1	0.2072837829	0.625
Hsal	NW_011651981.1	0.172200358101	0.6226415094339622
Hsal	NW_011651985.1	0.0481569056923	0.22857142857142856
Hsal	NW_011652422.1	0.101558876506	0.42857142857142855
Hsal	NW_011652577.1	0.492987218985	0.7916666666666666
Hsal	NW_011652656.1	0.131690408233	0.5833333333333334
Hsal	NW_011652663.1	0.0313103789943	0.5454545454545454
Hsal	NW_011652688.1	0.432733026499	0.6530612244897959
Hsal	NW_011653010.1	0.177842261496	0.6222222222222222
Hsal	NW_011653071.1	0.0243567000437	0.1875
Hsal	NW_011653078.1	0.0	0.0
Hsal	NW_011653094.1	0.387548869838	0.6521739130434783
Hsal	NW_011653224.1	0.187709262913	0.65
Hsal	NW_011653281.1	0.0813454812601	0.53125
Hsal	NW_011653292.1	0.131377721703	0.5526315789473685
Hsal	NW_011653412.1	0.343518674788	0.43333333333333335
Hsal	NW_011653477.1	0.518922894762	0.7666666666666667
Hsal	NW_011653521.1	0.485272157171	0.7606837606837606
Hsal	NW_011653869.1	0.0915370670738	0.4444444444444444
Hsal	NW_011654317.1	0.139323685569	0.43243243243243246
Hsal	NW_011654318.1	0.370432357612	0.6296296296296297
Hsal	NW_011654540.1	0.167164682184	0.6
Hsal	NW_011654823.1	0.50237648843	0.7731958762886598
Hsal	NW_011655025.1	0.583220064637	0.6470588235294118
Hsal	NW_011655077.1	0.332900547188	0.7045454545454546
Pcan	NW_014569547.1	0.406510093658	0.7577639751552795
Pcan	NW_014569548.1	0.556687603618	0.7936507936507936
Pcan	NW_014569549.1	0.320869401729	0.6542056074766355
Pcan	NW_014569550.1	0.527046382035	0.8648648648648649
Pcan	NW_014569551.1	0.158570089758	0.5774647887323944
Pcan	NW_014569552.1	0.524687571916	0.75
Pcan	NW_014569553.1	0.499945517258	0.8
Pcan	NW_014569554.1	0.563211649897	0.7603305785123967
Pcan	NW_014569555.1	0.540210005355	0.6938775510204082
Pcan	NW_014569556.1	0.202057681841	0.6944444444444444
Pcan	NW_014569557.1	0.529217702486	0.8211382113821138
Pcan	NW_014569558.1	0.489130708217	0.7590361445783133
Pcan	NW_014569559.1	0.800137750581	0.9444444444444444
Pcan	NW_014569560.1	0.457274935763	0.8105263157894737
Pcan	NW_014569561.1	0.38232497623	0.7058823529411765
Pcan	NW_014569562.1	0.587119458248	0.7868852459016393
Pcan	NW_014569563.1	0.593211832267	0.6714285714285714
Pcan	NW_014569564.1	0.592701756699	0.6666666666666666
Pcan	NW_014569565.1	0.394057014944	0.7428571428571429
Pcan	NW_014569566.1	0.430124569308	0.7926829268292683
Pcan	NW_014569567.1	0.357064303808	0.7105263157894737
Pcan	NW_014569568.1	0.599728607307	0.851063829787234
Pcan	NW_014569569.1	0.549679056449	0.6666666666666666
Pcan	NW_014569570.1	0.325656597443	0.6805555555555556
Pcan	NW_014569571.1	0.337098137435	0.782608695652174
Pcan	NW_014569572.1	0.497566073588	0.8414634146341463
Pcan	NW_014569573.1	0.421787697417	0.6
Pcan	NW_014569574.1	0.4311317901	0.8152173913043478
Pcan	NW_014569575.1	0.606641583707	0.8421052631578947
Pcan	NW_014569576.1	0.21465628305	0.7428571428571429
Pcan	NW_014569577.1	0.214544608479	0.6976744186046512
Pcan	NW_014569578.1	0.722065496185	0.8428571428571429
Pcan	NW_014569579.1	0.60149906005	0.7045454545454546
Pcan	NW_014569580.1	0.542218572838	0.8736842105263158
Pcan	NW_014569581.1	0.600875431602	0.782608695652174
Pcan	NW_014569582.1	0.171018735514	0.68
Pcan	NW_014569583.1	0.330139017411	0.65625
Pcan	NW_014569584.1	0.608224737252	0.8222222222222222
Pcan	NW_014569585.1	0.451311005185	0.803030303030303
Pcan	NW_014569586.1	0.291854813522	0.7894736842105263
Pcan	NW_014569587.1	0.384380468594	0.782608695652174
Pdom	NW_015148970.1	0.401677753488	0.7564469914040115
Pdom	NW_015148971.1	0.449696954823	0.7746478873239436
Pdom	NW_015148972.1	0.409551848778	0.7655677655677655
Pdom	NW_015148973.1	0.544088079976	0.810126582278481
Pdom	NW_015148974.1	0.434607591815	0.7247191011235955
Pdom	NW_015148975.1	0.429295113061	0.7556390977443609
Pdom	NW_015148976.1	0.294533662783	0.7414965986394558
Pdom	NW_015148977.1	0.423263924395	0.7722222222222223
Pdom	NW_015148978.1	0.478106472961	0.834319526627219
Pdom	NW_015148979.1	0.352165402745	0.6964285714285714
Pdom	NW_015148980.1	0.352331721758	0.7291666666666666
Pdom	NW_015148981.1	0.166970473163	0.640625
Pdom	NW_015148982.1	0.416764719525	0.7547169811320755
Pdom	NW_015148983.1	0.496387759943	0.7246376811594203
Pdom	NW_015148984.1	0.596403640541	0.6341463414634146
Pdom	NW_015148985.1	0.259496327152	0.5294117647058824
Pdom	NW_015148986.1	0.340046723226	0.7299270072992701
Pdom	NW_015148987.1	0.170020784432	0.6702127659574468
Pdom	NW_015148988.1	0.383001648801	0.8333333333333334
Pdom	NW_015148989.1	0.415254054199	0.5714285714285714
Pdom	NW_015148990.1	0.490740740741	0.7839506172839507
Pdom	NW_015148991.1	0.627103507719	0.8387096774193549
Pdom	NW_015148992.1	0.522404850748	0.6463414634146342
Pdom	NW_015148993.1	0.644108562771	0.863013698630137
Pdom	NW_015148994.1	0.272251981611	0.77
Pdom	NW_015148995.1	0.52799159218	0.6944444444444444
Pdom	NW_015148996.1	0.453829901934	0.8392857142857143
Pdom	NW_015148997.1	0.292176906501	0.734375
Pdom	NW_015148998.1	0.487592230774	0.8220338983050848
Pdom	NW_015148999.1	0.58770959226	0.8491620111731844
Pdom	NW_015149000.1	0.361478684739	0.6739130434782609
Pdom	NW_015149001.1	0.644352562412	0.7567567567567568
Pdom	NW_015149002.1	0.523961994237	0.8058252427184466
Pdom	NW_015149003.1	0.549559425964	0.66
Pdom	NW_015149004.1	0.528888926139	0.7536231884057971
Pdom	NW_015149005.1	0.499976055871	0.8
Pdom	NW_015149006.1	0.276375292287	0.48
Pdom	NW_015149007.1	0.338536278918	0.689922480620155
