hiLocus	iLocus	Species	Protein
HymHub-v0.3.0-HILC-1	AmelILC-01407		XP_006570930.1
HymHub-v0.3.0-HILC-1	BterILC-00317		XP_003393090.1
HymHub-v0.3.0-HILC-1	CfloILC-01276		XP_011255327.1
HymHub-v0.3.0-HILC-1	HsalILC-23558		XP_011151185.1
HymHub-v0.3.0-HILC-1	PcanILC-09038		XP_014607462.1
HymHub-v0.3.0-HILC-1	PdomILC-01343		XP_015188115.1
HymHub-v0.3.0-HILC-1	NvitILC-02316		XP_008215142.1
HymHub-v0.3.0-HILC-2	AmelILC-09696		XP_006567505.1
HymHub-v0.3.0-HILC-2	BterILC-06510		XP_012167626.1
HymHub-v0.3.0-HILC-2	CfloILC-18066		XP_011261113.1
HymHub-v0.3.0-HILC-2	HsalILC-19562		XP_011147751.1
HymHub-v0.3.0-HILC-2	PcanILC-01954		XP_014615798.1
HymHub-v0.3.0-HILC-2	PdomILC-03681		XP_015172670.1
HymHub-v0.3.0-HILC-2	NvitILC-09472		XP_008206676.1
HymHub-v0.3.0-HILC-3	AmelILC-14328		XP_006561040.1
HymHub-v0.3.0-HILC-3	BterILC-11145		XP_012172523.1
HymHub-v0.3.0-HILC-3	CfloILC-00573		XP_011250684.1
HymHub-v0.3.0-HILC-3	HsalILC-21517		XP_011149455.1
HymHub-v0.3.0-HILC-3	PcanILC-06304		XP_014603247.1
HymHub-v0.3.0-HILC-3	PdomILC-01868		XP_015190543.1
HymHub-v0.3.0-HILC-3	NvitILC-18491		XP_008209980.1
HymHub-v0.3.0-HILC-4	AmelILC-14452		XP_006562665.1
HymHub-v0.3.0-HILC-4	BterILC-05439		XP_012166274.1
HymHub-v0.3.0-HILC-4	CfloILC-12101		XP_011256313.1
HymHub-v0.3.0-HILC-4	HsalILC-06353		XP_011136273.1
HymHub-v0.3.0-HILC-4	PcanILC-02297		XP_014616375.1
HymHub-v0.3.0-HILC-4	PdomILC-11454		XP_015184649.1
HymHub-v0.3.0-HILC-4	NvitILC-07810		XP_008216627.1
HymHub-v0.3.0-HILC-5	AmelILC-15153		XP_006559442.1
HymHub-v0.3.0-HILC-5	BterILC-08816		XP_012170576.1
HymHub-v0.3.0-HILC-5	CfloILC-03160		XP_011268441.1
HymHub-v0.3.0-HILC-5	HsalILC-05253		XP_011135328.1
HymHub-v0.3.0-HILC-5	PcanILC-06610		XP_014603720.1
HymHub-v0.3.0-HILC-5	PdomILC-11175		XP_015184195.1
HymHub-v0.3.0-HILC-5	NvitILC-21233		XP_008212208.1
HymHub-v0.3.0-HILC-6	AmelILC-10466		XP_006566295.1
HymHub-v0.3.0-HILC-6	BterILC-06843		XP_012168285.1
HymHub-v0.3.0-HILC-6	CfloILC-05496		XP_011250798.1
HymHub-v0.3.0-HILC-6	HsalILC-08784		XP_011138250.1
HymHub-v0.3.0-HILC-6	PcanILC-00080		XP_014605590.1
HymHub-v0.3.0-HILC-6	PdomILC-11504		XP_015184753.1
HymHub-v0.3.0-HILC-6	NvitILC-14564		XP_008204471.1
HymHub-v0.3.0-HILC-7	AmelILC-11762		XP_006566770.1
HymHub-v0.3.0-HILC-7	BterILC-07950		XP_012169305.1
HymHub-v0.3.0-HILC-7	CfloILC-03712		XP_011269146.1
HymHub-v0.3.0-HILC-7	HsalILC-13015		XP_011142062.1
HymHub-v0.3.0-HILC-7	PcanILC-09290		XP_014607787.1
HymHub-v0.3.0-HILC-7	PdomILC-10805		XP_015183733.1
HymHub-v0.3.0-HILC-7	NvitILC-24024		XP_001605335.2
HymHub-v0.3.0-HILC-8	AmelILC-06713		XP_006570044.1
